tujuh bulan	v
tujuh hari	n
tumpang sari	v
tunggang langgang	adv
ubah bentuk	v
ubah suai	v
ulang kali	v
ulang tahun	n
uluk salam	v
ungu tirus	n
unjuk rasa	n
usur patol	n
utang budi	n
utang kayu ara	n
utang nyawa	n
utang piutang	n
visa diplomatik	n
visa ganda	n
visa transit	n
visa wisatawan	n
warga negara	n
wawas diri	v
wesi aji	n
wulu cumbu	n
Yakjuj wa Makjuj	n
yupa prasasti	n
zirkonium oksida	n
