"hitam putih"	adjective	"keadaan (ketentuan, hal) yang sebenarnya"
"hot dog"	noun	"roti berbentuk bulat panjang, diisi sosis goreng, dihidangkan dengan sayuran (seperti selada) dan saus tomat"
"ikut serta"	verb	"turut (bekerja, makan, dsb) bersama-sama"
"in absensia"	adverb	"dalam keadaan tidak hadir (pada waktu putusan pidana, pemberian ijazah, dsb)"
"ingin tahu"	noun	"perasaan atau sikap yang kuat untuk mengetahui sesuatu; dorongan kuat untuk mengetahui lebih banyak tentang sesuatu"
"insya Allah"	NULL	NULL
"iri hati"	adjective	"merasa kurang senang melihat kelebihan orang lain"
"Isa Almasih"	other	"sebutan bagi Yesus, berarti Isa yang diurapi"
"Isa Almasih"	other	"Isa yang diselamatkan"
"jabat tangan"	verb	"berjabat tangan"
"jamiatul hujaj"	noun	"persatuan haji"
"jarang laut"	noun	"ikan laut, Otheletus"
"jasa boga"	noun	"usaha yang melayani pesanan hidangan untuk pesta, pertemuan, dsb"
"jasa boga"	noun	"pemasok hidangan untuk pesta, pertemuan, dsb"
"jual beli"	noun	"persetujuan saling mengikat antara penjual, yakni pihak yang menyerahkan barang, dan pembeli sebagai pihak yang membayar harga barang yang dijual"
"jual beli"	verb	"menjual dan membeli"
"jungkir balik"	verb	"berjungkir balik"
"juru bicara"	noun	"orang yang kerjanya memberi keterangan resmi dsb kepada umum; pembicara yang mewakili suara kelompok atau lembaga; penyambung lidah"
"kacip fatimah"	noun	"tanaman, Labisia pothoina"
"kambing hitam"	noun	"orang yang dalam suatu peristiwa sebenarnya tidak bersalah, tetapi dipersalahkan atau dijadikan tumpuan kesalahan"
"kandi putih"	noun	"nama bunga"
"kapita selekta"	noun	"bunga rampai karya ilmiah yang dianggap penting"
"kapur sirih"	noun	"kapur yang halus dan lembut untuk ramuan makan sirih"
"kartu merah"	noun	"kartu yang dikeluarkan oleh wasit kepada pemain atau pelatih (dalam sepak bola atau voli) sebagai tanda pengusiran ke luar lapangan karena pelanggaran yang dilakukan sehingga pemain harus meninggalkan lapangan dan tidak dapat bertanding pada putaran berikutnya, sedangkan pelatih tidak dapat mendampingi pemain selama pertandingan berlangsung"
"kecak pinggang"	other	"berkecak pinggang"
"kecil hati"	adjective	"(merasa) tersinggung; marah"
"kecil hati"	adjective	"(merasa) tawar hatinya; kecewa"
"kecil hati"	adjective	"hilang keberanian; takut"
"keleseh peseh"	verb	"bercakap-cakap dalam bahasa Belanda"
"kembang biak"	verb	"berkembang biak"
"kerese pese"	verb	"keleseh reseh"
"kereta api"	noun	"kereta yang terdiri atas rangkaian gerbong (kereta) yang ditarik oleh lokomotif, dijalankan dengan tenaga uap (atau listrik), berjalan di atas rel (rentangan baja dsb)"
"kerong kerang"	noun	"mainan untuk bayi, biasanya digantung dan apabila bergerak atau terayun-ayun akan berbunyi"
"keruh bumi"	noun	"ukuran panjang (2&#151;3 mil)"
"khalikul alam"	noun	"pencipta alam semesta (yakni Allah)"
"khalikul bahri"	noun	"pencipta lautan (yakni Allah)"
"kirita makuta"	noun	"bentuk tata rambut yang menyerupai mahkota, dengan bagian bawah berbentuk bundar yang makin ke atas makin mengecil dan diberi hiasan berupa untaian manik-manik atau bunga"
"kota mara"	noun	"dinding di kapal untuk melindungi orang yang memasang meriam"
"kota mara"	noun	"dinding di kapal untuk melindungi orang yang memasang meriam"
"kota mara"	noun	"teras atau dinding di atas benteng tempat meriam"
"kota mara"	noun	"teras atau dinding di atas benteng tempat meriam"
"kotak katik"	noun	"gerak-gerik (suara dsb)"
"kukuk beluk"	NULL	NULL
"kumis kucing"	noun	"tumbuhan, bunganya menyerupai kumis kucing, daunnya direbus untuk obat penyakit ginjal; Orthosiphon grandiflorus"
"kumis kucing"	noun	"bunga kumis kucing"
"kumis kucing"	noun	"daun kumis kucing"
"laku lajak"	verb	"tingkah laku (perbuatan) yang berlebih-lebihan"
"lalu lintas"	verb	"(berjalan) bolak-balik; hilir mudik"
"lalu lintas"	noun	"perihal perjalanan di jalan dsb"
"lalu lintas"	noun	"perhubungan antara sebuah tempat dengan tempat yang lain (dengan jalan pelayaran, kereta api, dsb)"
"lam alif"	NULL	NULL
"latar belakang"	noun	"hiasan (berupa pemandangan atau musik)"
"latar belakang"	noun	"efek musik dan suara yang melatari acara televisi maupun radio"
"latar belakang"	noun	"adegan di dalam film layar lebar, televisi, atau pada foto (dalam dunia produksi, fotografi, atau percetakan)"
"latar belakang"	noun	"dasar (alasan) suatu tindakan (perbuatan); motif"
"latar belakang"	noun	"keterangan mengenai suatu peristiwa guna melengkapi informasi yang tersiar sebelumnya"
"lilit kutu"	noun	"pohon termasuk suku Urticaciae, tingginya mencapai 20 m, kulit kayunya berserabut dan dapat dibuat jala ikan; Pipturus argentius"
"lipat ganda"	noun	"hal banyak sekali"
"luar biasa"	adjective	"tidak seperti yang biasa; tidak sama dengan yang lain; istimewa"
"luluh lantak"	verb	"hancur sama sekali"
"Maha Esa"	adjective	"amat tunggal (Allah)"
"masa bodoh"	adjective	"kata afektif untuk menyatakan tidak senang hati; terserahlah; sesukamulah"
"masa bodoh"	verb	"tidak peduli apa-apa; tidak memperhatikan sama sekali; acuh tak acuh"
"masya Allah"	NULL	NULL
"mawas diri"	NULL	NULL
"meja hijau"	noun	pengadilan
"mempelas hari"	noun	mempelasari
"mitra sejajar"	noun	"pasangan kerja yang memiliki hak atau kedudukan yang sama"
"morf zero"	noun	"alomorf yang tidak ada ujudnya"
"naik kelas"	verb	"berganti kelas dari kelas yang lebih rendah ke kelas yang lebih tinggi (sesuai dengan urutan angka) setelah memenuhi persyaratan nilai yang ditentukan"
"nawala patra"	noun	"tulisan, karangan"
"nawala patra"	noun	perbuatan
"neko neko"	adverb	"(berbuat yang) aneh-aneh (macam-macam dsb)"
"nerak sarak"	verb	"melanggar peraturan"
"Nuzulul Quran"	noun	"turunnya (wahyu) Alquran pertama kali kepada Nabi Muhammad saw. ketika beliau menyepi di Gua Hira pada tanggal 17 Ramadan pada usia beliau yang ke-40 tahun"
"olah gerak"	noun	"rangkaian kegiatan aktif dan pasif dalam mengarahkan gerakan kapal di laut dan pelabuhan, misal sewaktu akan merapat di dermaga; manuver"
"olah tubuh"	NULL	NULL
"om swastiastu"	adjective	"selamat bagimu"
"pacar cina"	noun	"makanan berbutir warna-warni, dibuat dari tepung sagu atau aci, biasanya digunakan sebagai isi minuman panas, dicampur dengan gula dan santan"
"pamong praja"	noun	"pegawai negeri yang mengurus pemerintahan negara"
"pancar terus"	verb	memancarteruskan
"pangkal tolak"	noun	"sesuatu yang menjadi dasar (berpikir, bertindak, dsb)"
"pangreh praja"	noun	"penguasa lokal pada masa pemerintahan kolonial Belanda untuk menangani daerah jajahannya; pamong praja"
"pecah belah"	verb	"cerai-berai; pisah-pisah (tidak bersatu lagi)"
"pecah belah"	verb	"kocar-kacir; morat-marit"
"pecah belah"	noun	"barang-barang tembikar (seperti cangkir, piring, mangkuk)"
"pecah beling"	other	kejibeling
"peran serta"	noun	"ikut ambil bagian dalam suatu kegiatan; keikutsertaan secara aktif; partisipasi"
"persona nongrata"	noun	"orang yang tidak disukai (disenangi)"
"persona nongrata"	noun	"sikap politik yang dilaksanakan oleh pemerintah terhadap (seseorang) warga negara asing yang berada di wilayah negara tersebut dan mempunyai kekebalan diplomatik"
"pesta pora"	other	"pesta besar dan meriah"
"peti es"	noun	"peti (kotak; lemari) pendingin"
"peti es"	noun	"peti (kotak) tempat menyimpan es"
"pindah tugas"	verb	"memindahkan (seseorang) ke tempat tugas yang lain"
"pro forma"	adjective	"untuk pantas-pantas atau untuk basa-basi sekadar mengikuti tata cara yang berlaku"
"pukul rata"	adjective	rata-rata
"pungut v"	other	memungut
"putar balik"	verb	"bolak-balik; berbelit-belit (tentang perkataan dsb)"
"putar balik"	noun	"mantra untuk membalikkan orang yang pergi"
"putar lidah"	verb	"ingkar janji; berbalik haluan (pandangan)"
"putih mata"	noun	"berputih mata"
"putih tulang"	noun	"berputih tulang"
"putri malu"	noun	"tumbuhan perdu liar yang tingginya mencapai 15 cm, biasanya tumbuh melata di tanah, batangnya berduri jarang-jarang, daunnya bersirip ganda, apabila tersentuh daunnya lalu menguncup; sikejut; semalu; simalu; Mimosa pudica"
"putu mayang"	noun	"penganan yang dibuat dari tepung beras yang dibentuk seperti mi, dimakan dengan kinca bercampur santan"
"ramah tamah"	adjective	"amat ramah"
"ramah tamah"	noun	"pertemuan kekeluargaan (untuk perkenalan dsb)"
"raudatul atfal"	noun	"taman kanak-kanak"
"reka bentuk"	noun	"rancangan gambar; desain"
"reka cipta"	noun	"penciptaan (perancangan) sesuatu yang sebelumnya tidak ada; invensi"
"reka pangan"	noun	"pengarahan teknik pengolahan pangan; penemuan baru cara pengolahan bahan makanan"
"ripta loka"	noun	"ruang pengendalian dan pengawasan dan kegiatan-kegiatan dalam suatu kantor"
"rumah sakit"	noun	"gedung tempat merawat orang sakit"
"rumah sakit"	noun	"gedung tempat menyediakan dan memberikan pelayanan kesehatan yang meliputi berbagai masalah kesehatan"
"rumah tangga"	noun	"yang berkenaan dengan urusan kehidupan dalam rumah (seperti hal belanja rumah)"
"rumah tangga"	noun	"berkenaan dengan keluarga"
"salah arti"	noun	"salah penafsiran"
"salah guna"	verb	"melakukan sesuatu tidak sebagaimana mestinya; menyelewengkan"
"sama ada"	other	"apakah; ataukah"
"sama rata"	verb	"semuanya mendapat jatah yang sama (tidak memiliki perbedaan)"
"sama rata"	verb	"rata dengan"
"sambil lalu"	adverb	"tidak secara khusus; sepintas lalu"
"sambil lalu"	adverb	"sembari lewat (berjalan)"
"sambung tangan"	noun	"bantuan; pertolongan"
"sangga mara"	other	sangga
"sangkut paut"	noun	"hubungan; pertalian"
"sari pati"	noun	"inti atau pokok yang terpenting dari sesuatu (perkara, karangan, pembicaraan, dsb)"
"satu meja"	NULL	NULL
"satu padu"	NULL	NULL
"sebar luas"	verb	menyebarluaskan
"sejati jati"	NULL	NULL
"sekadar kadar"	NULL	NULL
"selaras laras"	NULL	NULL
"sepak bola"	noun	"permainan beregu di lapangan, menggunakan bola sepak dari dua kelompok yang berlawanan yang masing-masing terdiri atas sebelas pemain, berlangsung selama 2 x 45 menit, kemenangan ditentukan oleh selisih gol yang masuk ke gawang lawan"
"serah terima"	noun	"penyerahan dan penerimaan (tentang jabatan, tanggung jawab, dsb), pihak yang satu menyerahkan dan pihak yang lain menerima"
"seri bumi"	noun	"tumbuhan rumput-rumputan, Heliotropium indicum"
"seri danta"	noun	serigading
"setakona -"	NULL	NULL
"setia kawan"	noun	"perasaan bersatu; sependapat dan sekepentingan; solider"
"siap sedia"	verb	"sudah bersedia (untuk)"
"siap siaga"	verb	"siap untuk digunakan atau untuk bertindak"
"simpang siur"	verb	"silang-menyilang tidak keruan (tentang jalan, garis)"
"simpang siur"	verb	"lilit-melilit tidak keruan (tentang sulur, pita, dsb)"
"simpang siur"	verb	"sangat rapat dan silang-menyilang (seperti kawat telepon di kota-kota besar)"
"simpang siur"	verb	"banyak seluk-beluknya (liku-likunya dsb)"
"sopan santun"	noun	"budi pekerti yang baik; tata krama; peradaban; kesusilaan"
"spina bifida"	noun	"kelainan pada rangka sumsum belakang"
"suci hama"	adjective	"bebas bakteri; steril"
"suci kuman"	NULL	NULL
"sunat rasul"	noun	khitanan
"surat kabar"	noun	"lembaran-lembaran kertas bertuliskan berita dsb; koran"
"susah payah"	adjective	"sangat sukar (susah dsb)"
"suul adab"	adjective	"perangai yang buruk"
"taat asas"	adjective	"tidak berubah dari ketentuan yang sudah ditetapkan; konsisten"
"tabula rasa"	noun	"teori yang menyatakan bahwa setiap individu dilahirkan dengan jiwa yang putih bersih dan suci (yang akan menjadikan anak itu baik atau buruk adalah lingkungannya)"
"tambak bukit"	noun	"tumbuhan rumput yang akarnya untuk obat batuk atau obat menceret; sembung hutan; Vernonia cinerea"
"tambak bukit"	noun	"akar tambak bukit"
"tanggung jawab"	noun	"keadaan wajib menanggung segala sesuatunya (kalau terjadi apa-apa boleh dituntut, dipersalahkan, diperkarakan, dsb)"
"tanggung jawab"	noun	"fungsi menerima pembebanan, sebagai akibat sikap pihak sendiri atau pihak lain"
"tangkup telentang"	verb	"bolak-balik menghadap ke atas dan ke bawah, bergilir tengkurap dan telentang"
"tapak burung"	noun	"tumbuhan, yang daunnya dapat dimakan sebagai lalap; Aneilema nudiflorum"
"tapak burung"	noun	"daun tapak burung"
"tapak dara"	noun	"tanaman hias, bunganya di ujung batang atau cabang, berbentuk lingkaran lima helai mahkota, berwarna putih, merah muda, atau merah tua; Selaginella plana"
"tapak gajah"	noun	"tumbuhan merambat, Merremia (Convolonlus) nymphacipha"
"tapak kuda"	noun	"tumbuhan yang rebusannya dapat dibuat obat, yakni sebagai pencuci kaki penderita beri-beri; Ipomoea pescaprae"
"tapak liman"	noun	"tumbuhan yang disebut juga tutup bumi, berdaun hijau tua berlekuk-lekuk, tepinya bergerigi, daun dan akarnya dapat digunakan sebagai obat; Elephantopus scaber"
"tapak liman"	noun	"daun tapak liman"
"tapak liman"	noun	"akar tapak liman"
"tapak tilas"	other	"bekas jejak"
"tapak tilas"	other	"bekas jalan yang pernah dilalui"
"tata bahasa"	noun	"kumpulan kaidah tentang struktur gramatikal bahasa"
"tata bahasa"	noun	"buku tentang kaidah bahasa yang meliputi kaidah fonologi, morfologi, dan sintaksis"
"tata guna"	noun	"cara penggunaan"
"tata laksana"	noun	"cara mengurus (menjalankan) perusahaan dsb"
"tata negara"	noun	"seperangkat prinsip dasar yang mencakupi peraturan susunan pemerintah, bentuk negara, dsb yang menjadi dasar pengaturan suatu negara"
"tata niaga"	noun	"sistem perdagangan komoditas tertentu"
"tata praja"	noun	"penyelenggaraan pemerintahan negara"
"tata usaha"	noun	"penyelenggaraan urusan tulis-menulis (keuangan dsb) dalam perusahaan (negara dsb); administrasi"
"teka teki"	noun	"soal yang berupa kalimat (cerita, gambar) yang dikemukakan secara samar-samar, biasanya untuk permainan atau untuk mengasah pikiran misal yang digantungkan di atas, yang menggantungkan di bawah, orang menaikkan layang-layang; tebakan; terkaan"
"teka teki"	noun	"hal yang sulit dipecahkan (kurang terang, rahasia)"
"temu duga"	noun	"tanya jawab antara yang memberi pekerjaan dan yang memohon pekerjaan dsb; wawancara"
"tenaga kerja"	noun	"orang yang bekerja atau mengerjakan sesuatu; pekerja, pegawai, dsb"
"tenaga kerja"	noun	"orang yang mampu melakukan pekerjaan, baik di dalam maupun di luar hubungan kerja"
"tenaga nuklir"	noun	"sumber penggerak yang berasal dari nuklir"
"tepa salira"	adjective	"dapat merasakan (menjaga) perasaan (beban pikiran) orang lain sehingga tidak menyinggung perasaan atau dapat meringankan beban orang lain; tenggang rasa; toleransi"
"tepat guna"	noun	"daya guna"
"tepung tawar"	noun	"tepung beras yang dicampur dengan air dan daun setawar untuk menjampi dsb"
"terang jelas"	verb	"membuat atau menjadikan terang dan jelas; menguraikan dsb supaya terang dan jelas"
"terima kasih"	noun	"rasa syukur"
"terus terang"	verb	"jujur; mengatakan apa adanya"
"tiang pancang"	noun	"tiang utama yang tegak terhunjam ke tanah untuk penguat atau penyangga bangunan (rumah dsb)"
"tiang pancang"	noun	"penunjang (yang) utama; sakaguru"
"tindak lanjut"	verb	"langkah selanjutnya (tentang penyelesaian perkara, perbuatan, dsb)"
"titik berat"	noun	"pusat berat suatu benda"
"titik berat"	noun	"hal yang terpenting (terutama) atau yang sangat dipentingkan (diutamakan)"
"tosan aji"	noun	"besi aji; keris"
"transmigrasi lokal"	noun	"transmigrasi dalam lingkungan satu daerah (bukan dari pulau lain)"
"trias politika"	noun	"pengelompokan kekuasaan negara atas kekuasaan legislatif (kekuasaan membuat undang-undang), kekuasaan eksekutif (kekuasaan melaksanakan undang-undang), dan kekuasaan yudikatif (kekuasaan mengadili)"
"tuan rumah"	noun	"yang empunya rumah; kepala rumah tangga"
"tuan rumah"	noun	"orang yang mengadakan perjamuan sebagai lawan kata tamu; orang yang menerima tamu"
"tuan rumah"	noun	"yang empunya negeri; penduduk asli"
"tugas karya"	verb	"menugaskan pegawai sipil atau tentara yang sudah pensiun untuk bekerja kembali di tempat lain"
"tujuh bulan"	other	"menujuh bulan"
"tujuh hari"	noun	"menujuh hari"
"tumpang sari"	verb	"bercocok tanam dengan menanam dua jenis tanaman atau lebih secara serentak dengan membentuk barisan-barisan lurus untuk tanaman yang ditanam secara berseling pada satu bidang tanah"
"tunggang langgang"	adverb	"keadaan (lari dsb) dengan cepat, tetapi tidak menentu arahnya dan kadang-kadang terjatuh karena ketakutan; pontang-panting"
"ubah bentuk"	verb	"mengubah bentuk"
"ubah suai"	NULL	NULL
"ulang kali"	verb	"berulang berkali-kali; berulang-ulang"
"ulang tahun"	noun	"hari lahir"
"ulang tahun"	noun	"hari ketika suatu peristiwa penting terjadi"
"uluk salam"	verb	"memberi salam"
"ungu tirus"	noun	"zat pewarna yang diperoleh dari siput yang banyak digunakan di kota Tirus (Libanon)"
"unjuk rasa"	noun	"pernyataan protes yang dilakukan secara massal; demonstrasi"
"usur patol"	noun	"pengambilan hak milik orang lain secara sewenang-wenang; penyerobotan"
"warga negara"	noun	"penduduk sebuah negara atau bangsa berdasarkan keturunan, tempat kelahiran, dsb yang mempunyai kewajiban dan hak penuh sebagai seorang warga dari negara itu"
"wawas diri"	verb	"mewawas diri"
"wesi aji"	NULL	NULL
"wulu cumbu"	noun	"bulu yang tumbuh pada ibu jari kaki"
"wulu cumbu"	noun	"inang pengasuh laki-laki"
"wulu cumbu"	noun	"penurut; pengekor"
"Yakjuj wa Makjuj"	noun	"dua bangsa pada kekuasaan Zulkarnain yang telah membuat kerusakan di atas bumi, bertempat tinggal di antara dua gunung dan tidak dapat memahami pembicaraan orang lain, datang menyerbu dari balik tembok, turun dengan cepat laksana air bah"
"Yakjuj wa Makjuj"	noun	"dua suku bangsa yang akan membinasakan dunia apabila hampir kiamat"
"yupa prasasti"	noun	"prasasti yang dipahatkan pada tiang atau tugu batu"
"zirkonium oksida"	noun	"logam berwarna putih perak kristalin, khususnya digunakan dalam isolasi listrik, pelapisan"
